feature,psi,psi_status,ks_statistic,ks_p_value,ks_drift
var_10,0.0001529192375979555,stable,0.003375000000000003,0.8828482488018469,False
var_175,0.0001527154337632087,stable,0.004566666666666719,0.5573266807987298,False
var_55,0.00014615935928583842,stable,0.004833333333333301,0.4835445549882116,False
var_148,0.00014524578022069286,stable,0.003741666666666643,0.7935062788302675,False
var_121,0.00014230136382989745,stable,0.0034916666666666707,0.8566014676411599,False
var_171,0.00014228254174158898,stable,0.003049999999999997,0.9421222132420246,False
var_89,0.00013675386916533317,stable,0.0051416666666666555,0.4045400419284072,False
var_181,0.0001346395577451467,stable,0.0025249999999999995,0.990703886040206,False
var_66,0.0001346137518265968,stable,0.004508333333333336,0.5739740360220589,False
var_131,0.00013449327687584605,stable,0.003766666666666696,0.7867827706747277,False
var_15,0.00013341426738995712,stable,0.0029583333333333406,0.9547537220503649,False
var_38,0.00013292894102140664,stable,0.002666666666666706,0.9829183901007508,False
var_53,0.00012378344070292525,stable,0.003899999999999987,0.7499814518619392,False
var_112,0.00011928211387391162,stable,0.003916666666666652,0.7452861314184738,False
var_176,0.00011906831663210971,stable,0.0034916666666666707,0.8566014676411599,False
var_41,0.00011485644298399539,stable,0.004216666666666646,0.6586809347522631,False
var_140,0.00011214160005047484,stable,0.002258333333333362,0.997906365036932,False
var_29,0.00011105152799185329,stable,0.002925000000000011,0.9588868578619788,False
var_130,0.00010849063598933518,stable,0.0053916666666666835,0.3464749908644089,False
var_182,0.00010558591900047229,stable,0.00409166666666666,0.6951048320296501,False
var_81,9.061936182344159e-05,stable,0.0040083333333332805,0.719172040640216,False
var_145,8.254991576127513e-05,stable,0.004049999999999998,0.7071694102468055,False
var_49,7.645942499509295e-05,stable,0.004166666666666652,0.6732781084717798,False
var_141,7.417160903026024e-05,stable,0.0035250000000000004,0.8486895737288971,False
var_22,6.173755837642287e-05,stable,0.002658333333333429,0.9834723123991248,False
var_107,4.574891523479519e-05,stable,0.003441666666666676,0.86813475581538,False
